cluster,url,repository_file,current_role,inbound_exact_href_files,in_sitemap,search_console,backlinks,ga4,crm_delivery,current_decision,proposed_destination,decision_state
self-employed,/blog/health-insurance-self-employed-tax-deductions.html,blog/health-insurance-self-employed-tax-deductions.html,tax deduction article,22,yes,"0 clicks; 1144 impressions; 0% CTR; position 83.05","GSC property external links total 0; GSC internal links 5","0 active users; 0 engaged sessions; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep distinct tax intent pending content review,,preserve pending measurement evidence
self-employed,/blog/self-employed-tax-deductions-ichra-guide.html,blog/self-employed-tax-deductions-ichra-guide.html,tax and ICHRA article,10,yes,"0 clicks; 121 impressions; 0% CTR; position 42.30","GSC property external links total 0; target not listed among 41 internal-link rows","5 active users; 5 engaged sessions; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep distinct tax and employer intent pending content review,,preserve pending measurement evidence
self-employed,/local-health-insurance-answers/self-employed-health-insurance-polk-county/,local-health-insurance-answers/self-employed-health-insurance-polk-county/index.html,local direct answer,1,yes,unavailable,unavailable,unavailable,unavailable,compare,/self-employed-health-insurance/,blocked pending external evidence
job-loss,/losing-coverage/,losing-coverage/index.html,canonical COBRA versus Marketplace guide,5,yes,not returned by linked report filter,"GSC property external links total 0; target not listed among 41 internal-link rows",not returned by linked report filter,not applicable by owner direction,keep,,preserve pending measurement evidence
job-loss,/blog/lost-job-coverage-aca-insurance-florida.html,blog/lost-job-coverage-aca-insurance-florida.html,Florida ACA after job loss answer,1,yes,unavailable,unavailable,unavailable,unavailable,compare,/losing-coverage/,blocked pending external evidence
job-loss,/blog/lost-job-health-insurance-lakeland.html,blog/lost-job-health-insurance-lakeland.html,dated local job loss guide,18,yes,"0 clicks; 160 impressions; 0% CTR; position 44.09","GSC property external links total 0; GSC internal links 5","0 active users; 0 engaged sessions; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,compare,/losing-coverage/,blocked pending measurement evidence
job-loss,/blog/life-change-health-insurance-60-day-window-florida.html,blog/life-change-health-insurance-60-day-window-florida.html,multiple SEP trigger guide,17,yes,unavailable,unavailable,unavailable,unavailable,keep distinct unless evidence disproves,,preserve pending external evidence
job-loss,/local-health-insurance-answers/employee-losing-group-coverage/,local-health-insurance-answers/employee-losing-group-coverage/index.html,employee group loss direct answer,1,yes,unavailable,unavailable,unavailable,unavailable,compare,/losing-coverage/,blocked pending external evidence
florida-guide,/plans/,plans/index.html,canonical coverage path education and routing,247,yes,"1 click; 1270 impressions; 0.08% CTR; position 66.00","GSC property external links total 0; GSC internal links 59","47 active users; 23 engaged sessions; 2 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep,,preserve pending measurement evidence
florida-guide,/blog/florida-insurance-guide.html,blog/florida-insurance-guide.html,dated Florida Medicare guide,23,yes,"0 clicks; 637 impressions; 0% CTR; position 41.14; extensionless variant also returned","GSC property external links total 0; GSC internal links 7","0 active users; 0 engaged sessions; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep distinct unless evidence disproves,,preserve pending measurement evidence
florida-guide,/blog/florida-aca-enrollment-and-benefits-2026.html,blog/florida-aca-enrollment-and-benefits-2026.html,dated Florida ACA guide,85,yes,"0 clicks; 234 impressions; 0% CTR; position 53.33","GSC property external links total 0; GSC internal links 20","0 active users; 0 engaged sessions; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep distinct unless evidence disproves,,preserve pending measurement evidence
